t(s)	ps01	ps02	ps03	ps04	ps05	ps06	ps07	ps08	ps09	ps10	ps11	ps12	ps13	ps14	ps15	ps16	ps17	ps18	ps19	ps20	ps21	
0.127855	3.90485e-005	-5.6124e-005	3.47883e-006	-0.000171935	-0.000264861	2.82559e-005	3.02504e-005	5.57658e-005	5.84545e-005	3.38032e-005	-5.9394e-006	2.46033e-005	3.97433e-005	5.88139e-005	-4.48178e-006	-4.13937e-005	-0.000113873	-0.000191172	-7.44581e-005	-2.24249e-005	-1.23545e-005	
0.12894	-2.5593e-005	-0.000106312	-9.10485e-006	-2.90339e-005	-0.000138146	1.88461e-005	-6.46098e-005	2.67169e-005	7.07378e-006	-1.61464e-005	-1.11454e-005	1.74504e-005	4.63806e-005	7.28361e-005	-3.89342e-005	-4.41175e-005	-6.73862e-005	-9.84415e-005	-5.20134e-005	-1.72223e-005	-6.47734e-005	
0.129961	2.7424e-005	-5.18052e-005	-0.000157225	-0.000304258	-0.000426129	-9.86541e-005	-3.21794e-006	3.23662e-005	2.20757e-005	4.08398e-005	3.13152e-005	-2.21775e-006	3.89568e-006	-2.52069e-006	-0.000132415	-0.000177778	-0.000225558	-0.000361486	-0.000299719	-0.000230996	-5.94333e-005	
0.131045	6.83976e-005	-5.66378e-005	-1.14098e-005	0.000179835	-4.8673e-005	-5.59321e-005	8.77221e-006	4.6188e-005	5.47731e-005	5.38728e-005	5.53214e-005	2.81328e-005	7.98563e-005	8.61947e-005	5.62605e-005	0.000120787	0.000128873	-8.77223e-005	-7.85097e-005	-8.6603e-005	-7.18032e-005	
0.132066	3.89606e-005	-0.000127666	-1.97997e-005	0.000135649	-9.01208e-005	-4.43517e-006	-5.83714e-005	4.41898e-005	-1.36854e-005	3.67653e-005	-7.53457e-006	3.18077e-005	4.43704e-005	5.20466e-005	2.57898e-005	9.51898e-005	8.57777e-005	-9.82124e-005	-8.64129e-005	-3.94061e-005	-5.53835e-005	
0.133151	-2.40796e-005	-0.000105893	-1.11372e-005	-8.43271e-005	-0.000108449	-1.54991e-005	8.30016e-005	1.59895e-005	5.07133e-005	3.54611e-005	-3.33371e-005	3.78155e-005	7.19164e-005	7.26321e-005	2.51282e-005	-4.10396e-005	-8.29356e-005	-0.00011962	-9.91602e-005	-4.59234e-005	-5.78032e-005	
0.134171	-6.56749e-005	-0.000165776	-2.98834e-005	6.13912e-005	-5.61498e-005	-1.96568e-005	-2.59106e-005	1.08627e-005	1.18935e-005	-2.49424e-005	-7.10481e-005	-4.48619e-005	-3.3356e-005	1.51359e-006	-2.45811e-005	2.84699e-005	-4.56619e-006	-9.16771e-005	-6.55653e-005	-5.08559e-005	-7.5893e-005	
0.135256	2.42717e-005	-5.72982e-005	-6.60705e-006	-6.62971e-006	-0.000120414	7.38329e-006	-3.65295e-005	4.34522e-005	2.52275e-005	2.04113e-005	2.02582e-005	2.04018e-005	2.47655e-005	2.70727e-005	-9.06258e-006	2.38228e-005	7.63692e-006	-0.000112789	-8.30355e-005	-2.69323e-005	-4.49708e-005	
0.136277	5.79517e-006	-6.06501e-005	-4.51136e-008	8.31284e-005	-9.93125e-006	3.10212e-005	6.03982e-005	6.39387e-005	4.55594e-005	5.13864e-005	-2.0265e-006	5.716e-005	5.81655e-005	5.30766e-005	5.48421e-005	0.000100122	3.77226e-005	-4.35208e-005	-3.56528e-006	-5.5118e-006	-1.59504e-005	
0.137361	0.00011852	-6.23421e-005	-7.54468e-006	0.000160588	-3.82972e-005	-9.43497e-006	3.68797e-005	3.53671e-005	5.54025e-005	9.64515e-005	6.15188e-005	3.29258e-005	4.93216e-005	6.23935e-005	1.5854e-005	7.88918e-005	0.000116905	-5.21507e-005	-2.55332e-005	1.16016e-005	-5.45192e-005	
0.138382	1.33427e-005	-0.000111609	-9.39989e-005	-0.000259055	-0.000398513	-5.30914e-005	1.766e-005	4.27169e-005	-5.70821e-006	4.23023e-005	-1.60061e-005	-8.57251e-006	-5.42031e-006	4.49975e-006	-8.83718e-005	-0.000108045	-0.000166712	-0.00034147	-0.000264686	-0.000168909	-6.38493e-005	
